Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.62,7.00,0.20,22.62
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.98,3.00,0.20,-10.80
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.79,3.00,0.80,-3.04
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4.00,0.00,11.72
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.90,6.00,0.20,-26.88
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3.00,0.20,-3.84
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.88,3.00,0.70,-25.82
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.11,8.00,0.20,17.60
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.99,1.00,0.20,2.10
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.30,1.00,0.20,1.07
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5.00,0.20,67.99
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2.00,0.00,10.91
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2.00,0.00,22.79
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6.00,0.00,13.35
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.10,14.00,0.20,14.53
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2.00,0.20,1.65
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.98,3.00,0.20,7.49
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.46,6.00,0.20,44.03
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3.00,0.00,165.38
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.79,1.00,0.70,-115.72
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3.00,0.00,18.35
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4.00,0.00,13.88
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6.00,0.00,63.44
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9.00,0.00,51.76
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7.00,0.00,19.73
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.56,3.00,0.30,-8.58
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.70,6.00,0.50,-407.68
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.39,2.00,0.70,-1.83
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.99,7.00,0.20,30.50
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.42,2.00,0.20,-9.16
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3.00,0.00,26.24
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5.00,0.40,-11.99
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.30,2.00,0.20,29.36
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.46,9.00,0.20,6.97
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3.00,0.00,9.62
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1.00,0.00,16.66
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4.00,0.00,3.46
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2.00,0.00,1.97
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.18,3.00,0.20,26.66
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6.00,0.00,18.45
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14.00,0.00,20.70
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.80,2.00,0.20,10.35
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3.00,0.00,2.38
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3.00,0.00,5.10
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.70,3.00,0.00,68.98
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3.00,0.00,218.25
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7.00,0.00,20.16
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.89,4.00,0.20,12.91
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11.00,0.00,103.80
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3.00,0.00,6.00
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8.00,0.00,585.55
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5.00,0.00,80.63
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5.00,0.20,17.77
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.18,2.00,0.20,15.24
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7.00,0.00,26.27
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4.00,0.00,48.54
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6.00,0.00,21.03
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3.00,0.00,1.79
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.57,2.00,0.20,51.48
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2.00,0.00,6.87
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7.00,0.00,236.23
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1.00,0.00,2.69
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.38,2.00,0.20,1.36
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.40,5.00,0.00,13.35
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2.00,0.20,9.69
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.94,3.00,0.20,2.73
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.95,8.00,0.40,-1359.99
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.93,3.00,0.20,-58.63
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9.00,0.30,-24.86
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.06,6.00,0.20,6.81
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5.00,0.80,-453.85
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.98,3.00,0.20,9.00
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3.00,0.00,9.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2.00,0.00,53.26
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.14,7.00,0.20,21.26
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.45,2.00,0.80,-131.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4.00,0.20,6.55
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.26,4.00,0.80,-243.16
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.80,7.00,0.30,-11.34
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5.00,0.20,-3.77
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1.00,0.00,1.41
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.82,2.00,0.20,1.86
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.74,7.00,0.20,76.64
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4.00,0.00,131.03
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5.00,0.00,41.99
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29.00,2.00,0.00,7.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2.00,0.00,3.44
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.80,8.00,0.00,22.98
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.22,3.00,0.20,3.72
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.02,3.00,0.20,6.26
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,899.14,4.00,0.20,112.39
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.76,6.00,0.00,20.09
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8.00,0.00,24.88
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626.35,3.00,0.20,46.98
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.90,5.00,0.00,6.57
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7.00,0.00,6.71
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7.41,2.00,0.20,1.20
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6.05,3.00,0.20,1.59
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3.00,0.00,12.03
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.95,2.00,0.70,-2.26
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.06,3.00,0.20,5.82
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,21.74,3.00,0.20,6.80
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2.00,0.50,-161.88
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,2.60,1.00,0.20,0.29
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.28,2.00,0.80,-178.97
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.17,7.00,0.20,9.67
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444.77,4.00,0.20,44.48
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4.00,0.00,5.87
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2.00,0.00,35.63
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4.00,0.00,7.48
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9.00,0.00,16.21
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1.00,0.00,3.68
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.80,2.00,0.20,6.50
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2.00,0.20,8.88
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5.00,0.50,-244.32
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones,62.98,3.00,0.40,-14.70
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines,1188.00,9.00,0.70,-950.40
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories,89.58,2.00,0.20,4.48
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,93.06,6.00,0.00,26.06
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,302.38,3.00,0.20,22.68
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Fasteners,5.58,2.00,0.20,1.81
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,22.70,6.00,0.20,8.23
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders,19.78,4.00,0.70,-13.84
First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,Furnishings,72.70,4.00,0.20,19.08
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines,479.99,4.00,0.70,-383.99
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Art,27.17,2.00,0.20,2.72
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,2.20,1.00,0.00,0.97
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5.00,0.00,136.94
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage,21.98,1.00,0.00,0.22
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,161.57,2.00,0.20,-28.27
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,389.70,8.00,0.20,43.84
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,18.65,7.00,0.70,-12.43
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,233.86,2.00,0.45,-102.05
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,620.61,3.00,0.45,-248.25
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,5.33,2.00,0.70,-3.55
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Furnishings,258.07,3.00,0.20,0.00
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Technology,Accessories,617.98,3.00,0.20,-7.72
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,10.56,2.00,0.00,4.75
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,25.92,5.00,0.20,9.40
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5.00,0.60,-356.73
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11.69,3.00,0.60,-4.68
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,31.98,2.00,0.20,11.19
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,177.23,5.00,0.50,-120.51
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4.04,3.00,0.60,-2.83
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.41,2.00,0.20,1.20
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.86,7.00,0.00,580.54
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Storage,166.72,2.00,0.00,41.68
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.88,6.00,0.00,23.94
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,1503.25,5.00,0.00,496.07
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,25.92,4.00,0.00,12.44
Second Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Chairs,321.57,2.00,0.20,28.14
